ticker,date,estimate,actual,surprise
BHARTIARTL.NS,2023-10-31,5.13,5.1,-0.005847953216374317
BHARTIARTL.NS,2023-08-03,4.63,4.86,0.04967602591792666
BHARTIARTL.NS,2023-05-16,5.13,5.19,0.011695906432748635
BHARTIARTL.NS,2023-02-07,4.88,3.58,-0.2663934426229508
BHARTIARTL.NS,2022-10-31,4.48,3.75,-0.16294642857142866
BHARTIARTL.NS,2022-08-08,3.55,2.84,-0.2
BHARTIARTL.NS,2022-05-17,3.31,2.37,-0.28398791540785495
BHARTIARTL.NS,2022-02-08,2.44,1.44,-0.4098360655737705
BHARTIARTL.NS,2021-11-02,1.06,1.19,0.12264150943396215
BHARTIARTL.NS,2021-08-03,0.87,0.49,-0.4367816091954023
BHARTIARTL.NS,2021-05-17,2.34,0.79,-0.6623931623931624
BHARTIARTL.NS,2021-02-03,-0.16,-0.55,-2.4375
BHARTIARTL.NS,2020-10-27,-0.92,-1.37,-0.48913043478260876
BHARTIARTL.NS,2020-07-29,-0.58,-0.8,-0.37931034482758635
KOTAKBANK.NS,2026-07-18,4.0,4.14,0.03499999999999992
KOTAKBANK.NS,2026-05-02,3.53,4.05,0.1473087818696884
KOTAKBANK.NS,2026-01-24,3.42,3.47,0.014619883040935752
KOTAKBANK.NS,2025-10-25,3.29,3.27,-0.0060790273556231055
KOTAKBANK.NS,2025-07-26,3.48,3.3,-0.05172413793103453
KOTAKBANK.NS,2025-05-03,3.54,3.57,0.008474576271186385
KOTAKBANK.NS,2025-01-18,3.38,3.32,-0.017751479289940846
KOTAKBANK.NS,2024-10-19,3.42,3.36,-0.017543859649122823
KOTAKBANK.NS,2024-07-20,4.46,3.59,-0.19506726457399107
KOTAKBANK.NS,2024-05-04,3.42,4.12,0.20467836257309946
KOTAKBANK.NS,2024-01-20,3.17,3.02,-0.04731861198738168
KOTAKBANK.NS,2023-10-21,3.18,3.21,0.009433962264150882
KOTAKBANK.NS,2023-07-22,3.29,3.48,0.05775075987841943
KOTAKBANK.NS,2023-04-29,2.94,3.48,0.1836734693877551
KOTAKBANK.NS,2023-01-21,2.62,2.81,0.07251908396946563
KOTAKBANK.NS,2022-10-22,2.38,2.6,0.09243697478991605
KOTAKBANK.NS,2022-07-23,2.16,2.09,-0.03240740740740754
KOTAKBANK.NS,2022-05-04,2.03,2.75,0.35467980295566515
KOTAKBANK.NS,2022-01-28,2.08,2.15,0.033653846153846076
KOTAKBANK.NS,2021-10-26,1.92,2.05,0.06770833333333329
KOTAKBANK.NS,2021-07-26,1.78,1.66,-0.0674157303370787
KOTAKBANK.NS,2021-05-03,1.89,1.66,-0.12169312169312169
KOTAKBANK.NS,2021-01-25,1.95,1.87,-0.04102564102564095
KOTAKBANK.NS,2020-10-26,1.4,2.21,0.5785714285714286
LT.NS,2026-07-28,29.55,29.96,0.013874788494077838
LT.NS,2026-05-05,32.56,38.43,0.18028255528255518
LT.NS,2026-01-28,32.67,31.99,-0.020814202632384548
LT.NS,2025-10-29,30.26,28.53,-0.05717118307997358
LT.NS,2025-07-29,26.58,26.29,-0.010910458991723068
LT.NS,2025-05-08,37.08,37.31,0.006202804746494175
LT.NS,2025-01-30,30.88,24.41,-0.209520725388601
LT.NS,2024-10-30,25.85,24.68,-0.0452611218568666
LT.NS,2024-07-24,23.72,20.25,-0.14629005059021918
LT.NS,2024-05-08,32.09,31.27,-0.025553131816765464
LT.NS,2024-01-30,25.71,21.42,-0.16686114352392062
LT.NS,2023-10-31,20.33,22.92,0.1273979340875555
LT.NS,2023-07-25,14.98,17.73,0.1835781041388518
LT.NS,2023-05-10,28.3,28.35,0.001766784452296845
LT.NS,2023-01-30,18.34,17.18,-0.06324972737186478
LT.NS,2022-10-31,15.85,15.85,0.0
LT.NS,2022-07-26,13.48,12.1,-0.10237388724035613
LT.NS,2022-05-12,26.73,25.75,-0.036662925551814454
LT.NS,2022-01-28,16.47,14.61,-0.1129326047358834
LT.NS,2021-10-27,15.14,12.25,-0.190885072655218
LT.NS,2021-07-26,13.12,8.35,-0.36356707317073167
LT.NS,2021-05-14,25.38,24.31,-0.04215918045705281
LT.NS,2021-01-25,13.6,16.06,0.1808823529411764
LT.NS,2020-10-28,10.58,7.88,-0.2551984877126654
AXISBANK.NS,2026-07-18,22.89,22.75,-0.006116207951070361
AXISBANK.NS,2026-04-25,22.72,22.63,-0.003961267605633797
AXISBANK.NS,2026-01-26,18.86,20.8,0.102863202545069
AXISBANK.NS,2025-10-15,18.8,16.32,-0.1319148936170213
AXISBANK.NS,2025-07-17,20.47,18.64,-0.08939912066438684
AXISBANK.NS,2025-04-24,21.21,22.87,0.07826496935407827
AXISBANK.NS,2025-01-16,21.62,20.25,-0.06336725254394084
AXISBANK.NS,2024-10-17,21.03,22.23,0.057061340941512086
AXISBANK.NS,2024-07-24,20.37,19.4,-0.047619047619047734
AXISBANK.NS,2024-04-24,20.48,22.96,0.12109375000000001
AXISBANK.NS,2024-01-23,19.55,19.57,0.0010230179028132775
AXISBANK.NS,2023-10-25,18.61,18.92,0.01665771090811404
AXISBANK.NS,2023-07-26,18.17,18.75,0.03192074848651614
AXISBANK.NS,2023-04-27,3.98,21.28,4.346733668341709
AXISBANK.NS,2023-01-23,17.66,18.8,0.06455266138165348
AXISBANK.NS,2022-10-20,14.36,17.23,0.19986072423398338
AXISBANK.NS,2022-07-25,11.78,13.4,0.13752122241086598
AXISBANK.NS,2022-04-28,12.57,13.38,0.06443914081145588
AXISBANK.NS,2022-01-24,10.84,11.75,0.08394833948339485
AXISBANK.NS,2021-10-26,10.17,10.19,0.0019665683382497122
AXISBANK.NS,2021-07-26,8.96,7.03,-0.21540178571428575
AXISBANK.NS,2021-04-27,8.58,8.72,0.016317016317016382
AXISBANK.NS,2021-01-27,8.42,3.65,-0.5665083135391924
AXISBANK.NS,2020-10-28,5.1,5.69,0.11568627450980408
MARUTI.NS,2026-04-28,133.27,114.2,-0.14309296916035122
MARUTI.NS,2026-01-28,141.14,120.67,-0.14503330026923614
MARUTI.NS,2025-10-31,119.09,104.74,-0.12049710303132091
MARUTI.NS,2025-07-31,98.84,118.06,0.19445568595710236
MARUTI.NS,2025-04-25,122.67,118.04,-0.03774353957772883
MARUTI.NS,2025-01-29,116.18,112.12,-0.034945773799277
MARUTI.NS,2024-10-29,124.26,97.62,-0.21438918396909706
MARUTI.NS,2024-07-31,105.22,116.09,0.10330735601596659
MARUTI.NS,2024-04-26,124.12,123.34,-0.006284241057041582
MARUTI.NS,2024-01-31,97.57,101.9,0.04437839499846277
MARUTI.NS,2023-10-27,107.27,123.03,0.14691898946583393
MARUTI.NS,2023-07-31,79.83,82.27,0.030564950519854663
MARUTI.NS,2023-04-26,85.62,86.85,0.014365802382620762
MARUTI.NS,2023-01-24,62.21,77.84,0.2512457804211542
MARUTI.NS,2022-10-28,62.1,68.24,0.09887278582930746
MARUTI.NS,2022-07-27,52.34,33.53,-0.3593809705769966
MARUTI.NS,2022-04-30,48.6,60.87,0.25246913580246905
MARUTI.NS,2022-01-25,32.55,33.48,0.028571428571428564
MARUTI.NS,2021-10-27,24.06,15.73,-0.3462177888611803
MARUTI.NS,2021-07-28,29.55,14.59,-0.5062605752961084
MARUTI.NS,2021-04-27,57.76,38.6,-0.33171745152354565
MARUTI.NS,2021-01-28,60.87,64.27,0.055856743880400836
MARUTI.NS,2020-10-29,51.05,45.41,-0.11047992164544566
MARUTI.NS,2020-07-29,-15.31,-8.26,0.4604833442194644
SUNPHARMA.NS,2026-05-22,11.81,11.3,-0.04318374259102454
SUNPHARMA.NS,2026-01-31,12.73,15.48,0.21602513747054203
SUNPHARMA.NS,2025-11-05,11.97,13.0,0.08604845446950704
SUNPHARMA.NS,2025-07-31,12.58,11.98,-0.04769475357710649
SUNPHARMA.NS,2025-05-22,11.49,10.01,-0.12880765883376852
SUNPHARMA.NS,2025-01-31,11.95,13.21,0.10543933054393319
SUNPHARMA.NS,2024-10-28,11.89,12.7,0.06812447434819165
SUNPHARMA.NS,2024-08-01,10.65,11.8,0.10798122065727703
SUNPHARMA.NS,2024-05-22,9.8,11.5,0.17346938775510196
SUNPHARMA.NS,2024-01-31,9.88,10.77,0.0900809716599189
SUNPHARMA.NS,2023-11-01,8.85,9.9,0.11864406779661026
SUNPHARMA.NS,2023-08-03,8.47,9.49,0.12042502951593854
SUNPHARMA.NS,2023-05-26,7.5,8.95,0.19333333333333325
SUNPHARMA.NS,2023-01-31,8.52,9.0,0.056338028169014134
SUNPHARMA.NS,2022-11-01,8.14,9.4,0.15479115479115477
SUNPHARMA.NS,2022-07-29,7.27,8.6,0.18294360385144431
SUNPHARMA.NS,2022-05-30,6.85,6.91,0.008759124087591314
SUNPHARMA.NS,2022-01-31,7.06,8.6,0.2181303116147309
SUNPHARMA.NS,2021-11-02,7.29,8.5,0.16598079561042522
SUNPHARMA.NS,2021-07-30,6.07,8.05,0.32619439868204286
SUNPHARMA.NS,2021-05-27,5.78,6.31,0.0916955017301037
SUNPHARMA.NS,2021-01-29,5.48,7.72,0.4087591240875911
SUNPHARMA.NS,2020-11-03,4.86,7.56,0.5555555555555554
SUNPHARMA.NS,2020-07-31,3.57,8.24,1.30812324929972
TITAN.NS,2026-05-08,14.45,12.23,-0.15363321799307952
TITAN.NS,2026-02-10,16.88,17.67,0.04680094786729874
TITAN.NS,2025-11-03,11.83,11.33,-0.042265426880811495
TITAN.NS,2025-08-06,10.48,11.61,0.10782442748091593
TITAN.NS,2025-05-08,10.32,9.82,-0.04844961240310077
TITAN.NS,2025-02-04,10.94,11.8,0.07861060329067653
TITAN.NS,2024-11-05,10.24,7.93,-0.22558593750000006
TITAN.NS,2024-08-02,8.37,8.06,-0.03703703703703689
TITAN.NS,2024-05-03,9.38,8.69,-0.07356076759061847
TITAN.NS,2024-02-01,11.74,11.9,0.013628620102214663
TITAN.NS,2023-11-03,10.18,10.31,0.012770137524558033
TITAN.NS,2023-08-02,10.67,8.48,-0.2052483598875351
TITAN.NS,2023-05-03,9.01,8.22,-0.0876803551609322
TITAN.NS,2023-02-02,10.92,10.18,-0.06776556776556779
TITAN.NS,2022-11-04,7.92,9.36,0.18181818181818177
TITAN.NS,2022-08-05,7.45,8.84,0.18657718120805364
TITAN.NS,2022-05-03,6.5,6.23,-0.041538461538461476
TITAN.NS,2022-02-03,8.82,11.12,0.2607709750566892
TITAN.NS,2021-10-27,6.95,7.2,0.03597122302158273
TITAN.NS,2021-08-04,0.44,0.22,-0.5
TITAN.NS,2021-04-29,6.24,6.36,0.019230769230769246
TITAN.NS,2021-02-10,6.26,5.12,-0.18210862619808302
TITAN.NS,2020-10-28,2.0,1.97,-0.015000000000000013
TITAN.NS,2020-08-10,-2.14,-3.04,-0.42056074766355134
